"","Title","Developer","Publisher","Region","Release","Date","Month","Year","System","Generation"
"6303","Disruptor","Insomniac Games","Interplay (PAL JP Versions), Universal Interactive (USA Version)","North_America","November 30, 1996",1996-11-30,11,1996,"PS1","5th"
"6304","Disruptor","Insomniac Games","Interplay (PAL JP Versions), Universal Interactive (USA Version)","PAL","December 1996",NA,12,1996,"PS1","5th"
"6305","Diver's Dream/Dolphin's Dream","Konami","Konami","Japan","September 10, 1998",1998-09-10,9,1998,"PS1","5th"
"6306","Diver's Dream/Dolphin's Dream","Konami","Konami","PAL","September 3, 2001",2001-09-03,9,2001,"PS1","5th"
"6307","Docchi Mecha!","SCEI","SCEI","Japan","April 27, 2000",2000-04-27,4,2000,"PS1","5th"
"6308","Dodgem Arena","Formula Game Development","Project Two Interactive","PAL","1998",NA,NA,1998,"PS1","5th"
"6309","DoDonPachi","Cave","SPS","Japan","September 10, 1998",1998-09-10,9,1998,"PS1","5th"
"6310","Dokapon! Okori no Tetsuken","Asmik Ace Entertainment","Asmik Ace Entertainment","Japan","November 5, 1998",1998-11-05,11,1998,"PS1","5th"
"6311","Doki Doki On Air","Dream Japan","Bottom Up","Japan","June 11, 1998",1998-06-11,6,1998,"PS1","5th"
"6312","Doki Doki On Air 2","Dream Japan","Bottom Up","Japan","March 11, 1999",1999-03-11,3,1999,"PS1","5th"
"6313","Doki Doki Poyacchio","M2","King Records","Japan","September 10, 1998",1998-09-10,9,1998,"PS1","5th"
"6314","Doki Doki Pretty League","Xing Entertainment","Xing Entertainment","Japan","March 28, 1997",1997-03-28,3,1997,"PS1","5th"
"6315","Doki Doki Pretty League: Lovely Star","Xing Entertainment","Xing Entertainment","Japan","December 13, 2001",2001-12-13,12,2001,"PS1","5th"
"6316","Doki Doki Pretty League: Nekketsu Otome Seishunki","Xing Entertainment","Xing Entertainment","Japan","September 23, 1998",1998-09-23,9,1998,"PS1","5th"
"6317","Doki Doki Shutter Chance","Nippon Ichi Software","Nippon Ichi Software","Japan","October 23, 1997",1997-10-23,10,1997,"PS1","5th"
"6318","Doki Oki","Banpresto","Banpresto","Japan","December 22, 1995",1995-12-22,12,1995,"PS1","5th"
"6319","Doko Demo Isshyo Tsuika Disk: Koneko Mo Isshyo (Expansion)","Sony","Sony","Japan","January 27, 2000",2000-01-27,1,2000,"PS1","5th"
"6320","Doko Demo Issyo: Calpis Water Version","Sony","Sony","Japan","February 21, 2000",2000-02-21,2,2000,"PS1","5th"
"6321","Doko Demo Issyo: Let's School","Sony","Sony","Japan","July 22, 1999",1999-07-22,7,1999,"PS1","5th"
"6322","Dokodemo Hamster 2","Interbec","Bec","Japan","August 31, 2000",2000-08-31,8,2000,"PS1","5th"
"6323","Dokodemo Hamster 4","Atelier Double","Bec","Japan","August 9, 2001",2001-08-09,8,2001,"PS1","5th"
"6324","Dokodemo Hamster B! Quick Club","Interbec","Bec","Japan","February 28, 2002",2002-02-28,2,2002,"PS1","5th"
"6325","Dokomademo Aoku...","Kid","Kid","Japan","February 21, 2002",2002-02-21,2,2002,"PS1","5th"
"6326","Dokonjou Gaeru: The Mahjong","Yuki","Bandai","Japan","January 24, 2002",2002-01-24,1,2002,"PS1","5th"
"6327","Dokyusei 2",NA,"ELF Corporation","Japan","August 7, 1997",1997-08-07,8,1997,"PS1","5th"
"6328","DonPachi","Cave","SPS","Japan","October 18, 1996",1996-10-18,10,1996,"PS1","5th"
"6329","Doom","Id Software, Infogrames",NA,"North_America","November 16, 1995",1995-11-16,11,1995,"PS1","5th"
"6330","Doom","Id Software, Infogrames",NA,"PAL","December 1995",NA,12,1995,"PS1","5th"
"6331","Dora the Explorer: Barnyard Buddies","Imaginengine","Global Star and Nick Jr.","North_America","November 18, 2003",2003-11-18,11,2003,"PS1","5th"
"6332","Doraemon 2: SOS! Otogi no Kuni","Pre Stage","Epoch Co.","Japan","February 21, 1997",1997-02-21,2,1997,"PS1","5th"
"6333","Doraemon 3: Makai no Dungeon","Kan's","Epoch Co.","Japan","December 14, 2000",2000-12-14,12,2000,"PS1","5th"
"6334","Doraemon: Himitsu no Yojigen Pocket","Bandai","Bandai","Japan","November 29, 2001",2001-11-29,11,2001,"PS1","5th"
"6335","Doraemon: Nobita to Fukkatsu no Hoshi","SAS Sakata","Epoch Co.","Japan","February 16, 1996",1996-02-16,2,1996,"PS1","5th"
"6336","Dosukoi Densetsu","KSS","KSS","Japan","May 20, 1999",1999-05-20,5,1999,"PS1","5th"
"6337","Dotsubo-Chan","Three Spirits","Universe Kaihatsu","Japan","September 14, 2000",2000-09-14,9,2000,"PS1","5th"
"6338","Double Dragon","Technos Japan","Urban Plant","Japan","April 26, 1996",1996-04-26,4,1996,"PS1","5th"
"6339","Doubutsu Chara Navi Uranai 2: Kosei Shinri / Renai Uranai Puzzle","Culture Brain","Culture Brain","Japan","September 18, 2003",2003-09-18,9,2003,"PS1","5th"
"6340","Douga de Puzzle! Puppukupu","Agenda","Argent","Japan","July 7, 1995",1995-07-07,7,1995,"PS1","5th"
"6341","Doukyuusei Mahjong","Aroma","Aroma","Japan","January 17, 1997",1997-01-17,1,1997,"PS1","5th"
"6342","Doumu no Yabou 2: The Race of Champions","OZ Club","OZ Club","Japan","November 19, 1998",1998-11-19,11,1998,"PS1","5th"
"6343","Doumu no Yabou: F1 GP Nippon","OZ Club","OZ Club","Japan","October 25, 1996",1996-10-25,10,1996,"PS1","5th"
"6344","Downhill Snow","Pack-In-Video","Victor Interactive Software","Japan","August 28, 1998",1998-08-28,8,1998,"PS1","5th"
"6345","Dr. Rin ni Kiitemite!","Hudson","Hudson","Japan","November 28, 2002",2002-11-28,11,2002,"PS1","5th"
"6346","Dr. Slump","Bandai","Bandai","Japan","March 18, 1999",1999-03-18,3,1999,"PS1","5th"
"6347","Dracula 2: The Last Sanctuary","Index+","Cryo Interactive","North_America","May 6, 2002",2002-05-06,5,2002,"PS1","5th"
"6348","Dracula 2: The Last Sanctuary","Index+","Cryo Interactive","PAL","July 6, 2001",2001-07-06,7,2001,"PS1","5th"
"6349","Dracula: Resurrection","Canal+ Multimedia, France Telecom Multimedia, Index+","Microids","North_America","June 2001",NA,6,2001,"PS1","5th"
"6350","Dracula: Resurrection","Canal+ Multimedia, France Telecom Multimedia, Index+","Microids","PAL","February 6, 2000",2000-02-06,2,2000,"PS1","5th"
"6351","Dragon Ball GT: Final Bout","Bandai","Atari","Japan","August 25, 1997",1997-08-25,8,1997,"PS1","5th"
"6352","Dragon Ball GT: Final Bout","Bandai","Atari","North_America","July 29, 1997",1997-07-29,7,1997,"PS1","5th"
"6353","Dragon Ball GT: Final Bout","Bandai","Atari","PAL","November 6, 1997",1997-11-06,11,1997,"PS1","5th"
"6354","Dragon Ball Z: Idainaru Dragon Ball Densetsu","Bandai","Bandai","Japan","May 31, 1996",1996-05-31,5,1996,"PS1","5th"
"6355","Dragon Ball Z: Ultimate Battle 22","Bandai","Atari","Japan","July 28, 1995",1995-07-28,7,1995,"PS1","5th"
"6356","Dragon Ball Z: Ultimate Battle 22","Bandai","Atari","North_America","March 25, 2003",2003-03-25,3,2003,"PS1","5th"
"6357","Dragon Ball Z: Ultimate Battle 22","Bandai","Atari","PAL","June 1996",NA,6,1996,"PS1","5th"
"6358","Dragon Beat: Legend of Pinball","Map Japan","Map Japan","Japan","November 27, 1997",1997-11-27,11,1997,"PS1","5th"
"6359","Dragon Drive: Tactics Break","Bandai","Bandai","Japan","October 3, 2002",2002-10-03,10,2002,"PS1","5th"
"6360","Dragon Knight 4","Banpresto","Banpresto","Japan","February 27, 1997",1997-02-27,2,1997,"PS1","5th"
"6361","Dragon Knights Glorious","Pandora Box","Pandora Box","Japan","November 18, 1999",1999-11-18,11,1999,"PS1","5th"
"6362","Dragon Money","E.O. Imagination","Micro Cabin","Japan","May 4, 1999",1999-05-04,5,1999,"PS1","5th"
"6363","Dragon Quest IV","ArtePiazza, Heartbeat","Enix","Japan","November 22, 2001",2001-11-22,11,2001,"PS1","5th"
"6364","Dragon Quest Monsters 1 & 2","TOSE Co., Ltd.","Enix Corporation","Japan","May 30, 2002",2002-05-30,5,2002,"PS1","5th"
"6365","Dragon Quest VII","Heart Beat","JPEnix Corporation, NAEnix Corporation","Japan","August 26, 2000",2000-08-26,8,2000,"PS1","5th"
"6366","Dragon Quest VII","Heart Beat","JPEnix Corporation, NAEnix Corporation","North_America","October 31, 2001",2001-10-31,10,2001,"PS1","5th"
"6367","Dragon Tales: Dragon Seek","Zed Two Limited","NewKidCo","North_America","November 29, 2000",2000-11-29,11,2000,"PS1","5th"
"6368","Dragon Valor","Namco","SCEE","Japan","December 9, 1999",1999-12-09,12,1999,"PS1","5th"
"6369","Dragon Valor","Namco","SCEE","North_America","October 16, 2000",2000-10-16,10,2000,"PS1","5th"
"6370","Dragon Valor","Namco","SCEE","PAL","June 30, 2000",2000-06-30,6,2000,"PS1","5th"
"6371","DragonHeart: Fire & Steel","Funcom","Acclaim","North_America","November 30, 1996",1996-11-30,11,1996,"PS1","5th"
"6372","DragonHeart: Fire & Steel","Funcom","Acclaim","PAL","March 1997",NA,3,1997,"PS1","5th"
"6373","Dragonseeds","Jaleco Entertainment","Jaleco Entertainment","Japan","August 6, 1998",1998-08-06,8,1998,"PS1","5th"
"6374","Dragonseeds","Jaleco Entertainment","Jaleco Entertainment","North_America","September 30, 1998",1998-09-30,9,1998,"PS1","5th"
"6375","Dragstars / Burn Out (JP)","Midas Interactive","Midas InteractivePAL, Success","Japan","August 24, 2000",2000-08-24,8,2000,"PS1","5th"
"6376","Dragstars / Burn Out (JP)","Midas Interactive","Midas InteractivePAL, Success","PAL","April 13, 2002",2002-04-13,4,2002,"PS1","5th"
"6377","Dream Generation: Koi Ka? Shigoto Ka!?","NCS","NCS","Japan","August 13, 1998",1998-08-13,8,1998,"PS1","5th"
"6378","Dreams to Reality","Cryo Interactive","Cryo Interactive","PAL","November 15, 1998",1998-11-15,11,1998,"PS1","5th"
"6379","Driver / Driver: You Are the Wheelman (NA)","Reflections Interactive","GT Interactive","North_America","June 30, 1999",1999-06-30,6,1999,"PS1","5th"
"6380","Driver / Driver: You Are the Wheelman (NA)","Reflections Interactive","GT Interactive","PAL","June 25, 1999",1999-06-25,6,1999,"PS1","5th"
"6381","Driver 2","Reflections Interactive","Infogrames","North_America","November 13, 2000",2000-11-13,11,2000,"PS1","5th"
"6382","Driver 2","Reflections Interactive","Infogrames","PAL","November 17, 2000",2000-11-17,11,2000,"PS1","5th"
"6383","Druid: Yami e no Tsuisekisha","Synthetic Dimensions","Koei","Japan","February 19, 1998",1998-02-19,2,1998,"PS1","5th"
"6384","Ducati World Racing Challenge","Attention to Detail","Acclaim","North_America","January 2, 2001",2001-01-02,1,2001,"PS1","5th"
"6385","Ducati World Racing Challenge","Attention to Detail","Acclaim","PAL","February 9, 2001",2001-02-09,2,2001,"PS1","5th"
"6386","Duke Nukem (PAL) / Duke Nukem: Total Meltdown (NA)","3D Realms, Aardvark Software","GT Interactive","North_America","September 30, 1997",1997-09-30,9,1997,"PS1","5th"
"6387","Duke Nukem (PAL) / Duke Nukem: Total Meltdown (NA)","3D Realms, Aardvark Software","GT Interactive","PAL","December 1998",NA,12,1998,"PS1","5th"
"6388","Duke Nukem: Land of the Babes","n-Space","GT InteractiveNA, Take-Two InteractivePAL","North_America","September 19, 2000",2000-09-19,9,2000,"PS1","5th"
"6389","Duke Nukem: Land of the Babes","n-Space","GT InteractiveNA, Take-Two InteractivePAL","PAL","April 6, 2001",2001-04-06,4,2001,"PS1","5th"
"6390","Duke Nukem: Time to Kill","n-Space","GT InteractiveNA, Take-Two InteractivePAL","North_America","September 30, 1998",1998-09-30,9,1998,"PS1","5th"
"6391","Duke Nukem: Time to Kill","n-Space","GT InteractiveNA, Take-Two InteractivePAL","PAL","February 15, 1999",1999-02-15,2,1999,"PS1","5th"
"6392","Dune 2000 / Dune (PAL)","Intelligent Games, Westwood Studios","Electronic Arts","North_America","October 31, 1999",1999-10-31,10,1999,"PS1","5th"
"6393","Dune 2000 / Dune (PAL)","Intelligent Games, Westwood Studios","Electronic Arts","PAL","February 1, 2000",2000-02-01,2,2000,"PS1","5th"
"6394","Dungeon Creator","Electronic Arts Victor","Electronic Arts Victor","Japan","May 31, 1996",1996-05-31,5,1996,"PS1","5th"
"6395","Dungeon Shoutenkai: Densetsu no Ken Hajimemashita","Kinotrope","Kodansha","Japan","October 29, 1998",1998-10-29,10,1998,"PS1","5th"
"6396","DX Hyakunin Isshu","Takara","Takara","Japan","December 6, 2001",2001-12-06,12,2001,"PS1","5th"
"6397","DX Jinsei Game","Takara","Takara","Japan","March 22, 1996",1996-03-22,3,1996,"PS1","5th"
"6398","DX Jinsei Game II","Takara","Takara","Japan","July 24, 1997",1997-07-24,7,1997,"PS1","5th"
"6399","DX Jinsei Game III","Takara","Takara","Japan","December 2, 1999",1999-12-02,12,1999,"PS1","5th"
"6400","DX Jinsei Game IV","Takara","Takara","Japan","November 29, 2001",2001-11-29,11,2001,"PS1","5th"
"6401","DX Jinsei Game V","Takara","Takara","Japan","December 5, 2002",2002-12-05,12,2002,"PS1","5th"
"6402","DX Monopoly","Takara","Takara","Japan","December 21, 2000",2000-12-21,12,2000,"PS1","5th"
"6403","DX Nippon Tokkyu Ryokou Game: Let's Travel in Japan","Takara","Takara","Japan","December 20, 1996",1996-12-20,12,1996,"PS1","5th"
"6404","DX Okuman Chouja Game","Takara","Takara","Japan","December 6, 1996",1996-12-06,12,1996,"PS1","5th"
"6405","DX Okuman Chouja Game II","Takara","Takara","Japan","September 23, 1998",1998-09-23,9,1998,"PS1","5th"
"6406","DX Shachou Game","Takara","Takara","Japan","July 8, 1999",1999-07-08,7,1999,"PS1","5th"
"6407","Dynamite Soccer 2000","A-Max","A-Max","Japan","October 26, 2000",2000-10-26,10,2000,"PS1","5th"
"6408","Dynamite Soccer 2002","A-Max","A-Max","Japan","May 16, 2002",2002-05-16,5,2002,"PS1","5th"
"6409","Dynamite Soccer 2004 Final","A-Max","A-Max","Japan","April 15, 2004",2004-04-15,4,2004,"PS1","5th"
"6410","Dynamite Soccer 98 / Simple 1500 Series Vol. 67: The Soccer: Dynamite Soccer 1500","A-Max","A-Max","Japan","June 4, 1998",1998-06-04,6,1998,"PS1","5th"
"6411","Dynasty Warriors","Omega Force","Koei","Japan","February 28, 1997",1997-02-28,2,1997,"PS1","5th"
"6412","Dynasty Warriors","Omega Force","Koei","North_America","June 30, 1997",1997-06-30,6,1997,"PS1","5th"
"6413","Dynasty Warriors","Omega Force","Koei","PAL","December 1997",NA,12,1997,"PS1","5th"
"6414","E.T.: Interplanetary Mission","NewKidCo","Ubisoft","North_America","December 30, 2002",2002-12-30,12,2002,"PS1","5th"
"6415","E.T.: Interplanetary Mission","NewKidCo","Ubisoft","PAL","April 5, 2002",2002-04-05,4,2002,"PS1","5th"
"6416","Eagle One: Harrier Attack","Glass Ghost","Infogrames","North_America","March 31, 2000",2000-03-31,3,2000,"PS1","5th"
"6417","Eagle One: Harrier Attack","Glass Ghost","Infogrames","PAL","2000",NA,NA,2000,"PS1","5th"
"6418","Earthworm Jim 2","Screaming Pink","Virgin Interactive","PAL","November 1996",NA,11,1996,"PS1","5th"
"6419","Easter Bunny's Big Day","Mastiff","Mastiff","North_America","April 1, 2003",2003-04-01,4,2003,"PS1","5th"
"6420","Eberouge","Japan Media Programming","Takara","Japan","May 30, 1997",1997-05-30,5,1997,"PS1","5th"
"6421","Eberouge 2","Japan Media Programming","Takara","Japan","February 25, 1999",1999-02-25,2,1999,"PS1","5th"
"6422","Eberouge Special: Koi to Mahou no Gakuen Seikatsu","Japan Media Programming","Takara","Japan","June 11, 1998",1998-06-11,6,1998,"PS1","5th"
"6423","Ebisu Yoshikazu no Ooana Keiti","Seta Corporation","Seta Corporation","Japan","August 30, 1996",1996-08-30,8,1996,"PS1","5th"
"6424","Echo Night","FromSoftware","Agetec","Japan","August 13, 1998",1998-08-13,8,1998,"PS1","5th"
"6425","Echo Night","FromSoftware","Agetec","North_America","July 31, 1999",1999-07-31,7,1999,"PS1","5th"
"6426","Echo Night 2: The Lord of Nightmares","From Liquid Mirror Software","FromSoftware","Japan","August 13, 1998",1998-08-13,8,1998,"PS1","5th"
"6427","Ecsaform","Bandai","Bandai","Japan","January 28, 1999",1999-01-28,1,1999,"PS1","5th"
"6428","ECW Anarchy Rulz","Acclaim","Acclaim","North_America","August 15, 2000",2000-08-15,8,2000,"PS1","5th"
"6429","ECW Anarchy Rulz","Acclaim","Acclaim","PAL","September 1, 2000",2000-09-01,9,2000,"PS1","5th"
"6430","ECW Hardcore Revolution","Acclaim","Acclaim","North_America","February 17, 2000",2000-02-17,2,2000,"PS1","5th"
"6431","ECW Hardcore Revolution","Acclaim","Acclaim","PAL","2000",NA,NA,2000,"PS1","5th"
"6432","eexy life: East End X Yuri","Sony Music Entertainment Incorporated","Sony Music Entertainment Incorporated","Japan","October 25, 1996",1996-10-25,10,1996,"PS1","5th"
"6433","Efficus: Kono Omoi o Kimi ni...","Genki","Genki","Japan","October 1, 1998",1998-10-01,10,1998,"PS1","5th"
"6434","Egg","Beyond Interactive","Toshiba EMI","Japan","February 19, 1998",1998-02-19,2,1998,"PS1","5th"
"6435","Eggs of Steel: Charlie's Eggcellent Adventure","Rhythm & Hues","Atlus","North_America","October 31, 1998",1998-10-31,10,1998,"PS1","5th"
"6436","Egypt 1156 B.C.: Tomb of the Pharaoh","Cryo Interactive","Canal+Multimedia, Cryo Interactive, Réunion des Musées Nationaux","PAL","September 10, 1999",1999-09-10,9,1999,"PS1","5th"
"6437","Egypt II: The Heliopolis Prophecy","Cryo Interactive, Réunion des Musées Nationaux","Cryo Interactive","PAL","September 14, 2001",2001-09-14,9,2001,"PS1","5th"
"6438","Ehrgeiz: God Bless the Ring","Square Co.","SCEE","Japan","December 17, 1998",1998-12-17,12,1998,"PS1","5th"
"6439","Ehrgeiz: God Bless the Ring","Square Co.","SCEE","North_America","April 30, 1999",1999-04-30,4,1999,"PS1","5th"
"6440","Ehrgeiz: God Bless the Ring","Square Co.","SCEE","PAL","February 8, 2000",2000-02-08,2,2000,"PS1","5th"
"6441","Eigo no Tetsujin: Center Shiken Trial","SCEI","SCEI","Japan","September 13, 1996",1996-09-13,9,1996,"PS1","5th"
"6442","Eikan wa Kimi ni 4","Artdink","Artdink","Japan","August 5, 1999",1999-08-05,8,1999,"PS1","5th"
"6443","Eikou no St Andrews","Seta Corporation","Shogakukan","Japan","August 28, 1997",1997-08-28,8,1997,"PS1","5th"
"6444","Einhänder","Square","Square, SCA","Japan","November 20, 1997",1997-11-20,11,1997,"PS1","5th"
"6445","Einhänder","Square","Square, SCA","North_America","May 5, 1998",1998-05-05,5,1998,"PS1","5th"
"6446","Eisei Meijin","Konami","Konami","Japan","September 8, 1995",1995-09-08,9,1995,"PS1","5th"
"6447","Eisei Meijin II","Konami","Konami","Japan","December 20, 1996",1996-12-20,12,1996,"PS1","5th"
"6448","Eisei Meijin III","Konami","Konami","Japan","March 18, 1999",1999-03-18,3,1999,"PS1","5th"
"6449","Eithéa","TamTam","Atlus","Japan","February 22, 2001",2001-02-22,2,2001,"PS1","5th"
"6450","Eko Eko Azaraku: Wizard of Darkness","Polygram Magic of Japan","Polygram Magic of Japan","Japan","December 29, 1995",1995-12-29,12,1995,"PS1","5th"
"6451","Eko no Kids: Taga Tame Hi Kane Ha Naru","TGL","TGL","Japan","April 18, 1997",1997-04-18,4,1997,"PS1","5th"
"6452","Elan","Visco","Visco","Japan","April 1, 1999",1999-04-01,4,1999,"PS1","5th"
"6453","Elan Plus","Visco","Visco","Japan","May 11, 2000",2000-05-11,5,2000,"PS1","5th"
"6454","Eldergate","KCET","Konami","Japan","June 22, 2000",2000-06-22,6,2000,"PS1","5th"
"6455","Elemental Gearbolt","Alfa System","Working Designs, SCEI","Japan","December 11, 1997",1997-12-11,12,1997,"PS1","5th"
"6456","Elemental Gearbolt","Alfa System","Working Designs, SCEI","North_America","June 30, 1998",1998-06-30,6,1998,"PS1","5th"
"6457","Elemental Pinball","DigiCube","Midas InteractivePAL, DigiCubeJP","Japan","February 21, 2002",2002-02-21,2,2002,"PS1","5th"
"6458","Elemental Pinball","DigiCube","Midas InteractivePAL, DigiCubeJP","PAL","June 13, 2003",2003-06-13,6,2003,"PS1","5th"
"6459","Elf o Karu Monotachi","Altron","Altron","Japan","August 7, 1997",1997-08-07,8,1997,"PS1","5th"
"6460","Elf o Karu Monotachi II","Altron","Altron","Japan","August 13, 1998",1998-08-13,8,1998,"PS1","5th"
"6461","Elf o Karu Monotachi: Hanafuda Hen","Altron","Altron","Japan","August 28, 1997",1997-08-28,8,1997,"PS1","5th"
"6462","Elfin Paradise","Fill-In Cafe","ASK","Japan","April 25, 1997",1997-04-25,4,1997,"PS1","5th"
"6463","Eliminator","Magenta Software","Psygnosis","North_America","February 28, 1999",1999-02-28,2,1999,"PS1","5th"
"6464","Eliminator","Magenta Software","Psygnosis","PAL","February 1, 1999",1999-02-01,2,1999,"PS1","5th"
"6465","EMIT Value Set","Koei","Koei","Japan","September 29, 1995",1995-09-29,9,1995,"PS1","5th"
"6466","Emmyrea","Kid","Squaresoft","Japan","May 24, 2001",2001-05-24,5,2001,"PS1","5th"
"6467","End Sector","ASCII","ASCII","Japan","September 23, 1998",1998-09-23,9,1998,"PS1","5th"
"6468","Endless Season: Anoko Doko Noko","Success","Success","Japan","July 22, 1999",1999-07-22,7,1999,"PS1","5th"
"6469","Enen Angel","Media Factory","Media Factory","Japan","February 22, 2001",2001-02-22,2,2001,"PS1","5th"
"6470","Engacho!","Nihon Application Co.","Nihon Application Co.","Japan","November 18, 1999",1999-11-18,11,1999,"PS1","5th"
"6471","Enigma","Omega Force","Koei","Japan","April 2, 1998",1998-04-02,4,1998,"PS1","5th"
"6472","EOS: Edge of Skyhigh","Micronet co., Ltd.","Micronet co., Ltd.","Japan","July 3, 1997",1997-07-03,7,1997,"PS1","5th"
"6473","Epidemic","Genki","JPSony Music Entertainment, NASCEA, PALSCEE","Japan","December 29, 1995",1995-12-29,12,1995,"PS1","5th"
"6474","Epidemic","Genki","JPSony Music Entertainment, NASCEA, PALSCEE","North_America","June 14, 1996",1996-06-14,6,1996,"PS1","5th"
"6475","Epidemic","Genki","JPSony Music Entertainment, NASCEA, PALSCEE","PAL","March 1997",NA,3,1997,"PS1","5th"
"6476","Equestrian Showcase (NA) / Equestriad 2001PAL","Tantalus Int.","Mud Duck ProductionsNA, Midas InteractivePAL","North_America","May 9, 2003",2003-05-09,5,2003,"PS1","5th"
"6477","Equestrian Showcase (NA) / Equestriad 2001PAL","Tantalus Int.","Mud Duck ProductionsNA, Midas InteractivePAL","PAL","February 7, 2003",2003-02-07,2,2003,"PS1","5th"
"6478","ESPN MLS GameNight","Saffire, Konami Computer Entertainment Tokyo","Konami","North_America","September 19, 2000",2000-09-19,9,2000,"PS1","5th"
"6479","ESPN X-Games Pro Boarder","Electronic Arts","Radical Entertainment","Japan","March 11, 1999",1999-03-11,3,1999,"PS1","5th"
"6480","ESPN X-Games Pro Boarder","Electronic Arts","Radical Entertainment","North_America","October 31, 1998",1998-10-31,10,1998,"PS1","5th"
"6481","ESPN X-Games Pro Boarder","Electronic Arts","Radical Entertainment","PAL","1998",NA,NA,1998,"PS1","5th"
"6482","Eternal Eyes","TamTam","Sunsoft","Japan","December 2, 1999",1999-12-02,12,1999,"PS1","5th"
"6483","Eternal Eyes","TamTam","Sunsoft","North_America","October 31, 2000",2000-10-31,10,2000,"PS1","5th"
"6484","Eternal Eyes","TamTam","Sunsoft","PAL","2000",NA,NA,2000,"PS1","5th"
"6485","Eternal Melody","MediaWorks","MediaWorks","Japan","November 22, 1996",1996-11-22,11,1996,"PS1","5th"
"6486","Europe Racer","Davilex","Infogrames","PAL","September 14, 2001",2001-09-14,9,2001,"PS1","5th"
"6487","European Super League","Coyote Developments Ltd","Virgin Interactive Entertainment","PAL","March 2, 2001",2001-03-02,3,2001,"PS1","5th"
"6488","EVE The Fatal Attraction","C's Ware","NetVillage","Japan","September 27, 2001",2001-09-27,9,2001,"PS1","5th"
"6489","Eve Zero","C's Ware","NetVillage","Japan","March 30, 2000",2000-03-30,3,2000,"PS1","5th"
"6490","EVE: The Lost One","TOSE","Imadio","Japan","December 23, 1998",1998-12-23,12,1998,"PS1","5th"
"6491","Evergreen Avenue","Vridge","Datam Polystar","Japan","September 13, 2001",2001-09-13,9,2001,"PS1","5th"
"6492","Every Child Can Succeed 1","Lightspan","Lightspan","North_America","1998",NA,NA,1998,"PS1","5th"
"6493","Every Child Can Succeed 2","Lightspan","Lightspan","North_America","1998",NA,NA,1998,"PS1","5th"
"6494","Every Child Can Succeed 3","Lightspan","Lightspan","North_America","1998",NA,NA,1998,"PS1","5th"
"6495","Every Child Can Succeed 4","Lightspan","Lightspan","North_America","1998",NA,NA,1998,"PS1","5th"
"6496","Every Child Can Succeed 5","Lightspan","Lightspan","North_America","1998",NA,NA,1998,"PS1","5th"
"6497","Every Child Can Succeed 6","Lightspan","Lightspan","North_America","1998",NA,NA,1998,"PS1","5th"
"6498","Every Child Can Succeed 7","Lightspan","Lightspan","North_America","1998",NA,NA,1998,"PS1","5th"
"6499","Everybody's Golf (PAL) / Hot Shots Golf (NA) / Minna no Golf (JP)","Camelot Software","SCEE","Japan","July 17, 1997",1997-07-17,7,1997,"PS1","5th"
"6500","Everybody's Golf (PAL) / Hot Shots Golf (NA) / Minna no Golf (JP)","Camelot Software","SCEE","North_America","April 30, 1998",1998-04-30,4,1998,"PS1","5th"
"6501","Everybody's Golf (PAL) / Hot Shots Golf (NA) / Minna no Golf (JP)","Camelot Software","SCEE","PAL","June 1, 1998",1998-06-01,6,1998,"PS1","5th"
"6502","Everybody's Golf 2PAL / Hot Shots Golf 2NA","Clap Hanz","SCEE","Japan","July 29, 1999",1999-07-29,7,1999,"PS1","5th"
"6503","Everybody's Golf 2PAL / Hot Shots Golf 2NA","Clap Hanz","SCEE","North_America","March 7, 2000",2000-03-07,3,2000,"PS1","5th"
"6504","Everybody's Golf 2PAL / Hot Shots Golf 2NA","Clap Hanz","SCEE","PAL","July 24, 2000",2000-07-24,7,2000,"PS1","5th"
"6505","Evil Dead: Hail to the King","Heavy Iron Studios","THQ","North_America","December 4, 2000",2000-12-04,12,2000,"PS1","5th"
"6506","Evil Dead: Hail to the King","Heavy Iron Studios","THQ","PAL","June 22, 2001",2001-06-22,6,2001,"PS1","5th"
"6507","Evil Zone / Eretzvaju (JP)","Yuke's","Titus Interactive","Japan","January 14, 1999",1999-01-14,1,1999,"PS1","5th"
"6508","Evil Zone / Eretzvaju (JP)","Yuke's","Titus Interactive","North_America","May 31, 1999",1999-05-31,5,1999,"PS1","5th"
"6509","Evil Zone / Eretzvaju (JP)","Yuke's","Titus Interactive","PAL","1999",NA,NA,1999,"PS1","5th"
"6510","Evo's Space Adventures","Runecraft","Take 2 Interactive","PAL","June 2000",NA,6,2000,"PS1","5th"
"6511","Exalegiuse","Kogado Studio","Imagineer","Japan","February 5, 1998",1998-02-05,2,1998,"PS1","5th"
"6512","Excalibur 2555 AD","Telstar Electronic Studios Ltd","Telstar Electronic Studios Ltd","North_America","September 30, 1997",1997-09-30,9,1997,"PS1","5th"
"6513","Excalibur 2555 AD","Telstar Electronic Studios Ltd","Telstar Electronic Studios Ltd","PAL","March 1997",NA,3,1997,"PS1","5th"
"6514","Exector","Arc System Works","Arc System Works","Japan","September 22, 1995",1995-09-22,9,1995,"PS1","5th"
"6515","Exodus Guilty","Abel Software","Imadio","Japan","November 26, 1998",1998-11-26,11,1998,"PS1","5th"
"6516","Expendable","Rage Software","Infogrames","North_America","April 22, 2000",2000-04-22,4,2000,"PS1","5th"
